New_Index,Index,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,joy,sadness,anticipation,surprise,anger,fear,disgust,trust,喜び,悲しみ,期待,驚き,怒り,恐れ,嫌悪,信頼
1,1,0,5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,230666,False,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,acoustic,,,,,,,,,0.1601277,0.37544093,0.19840464,0.030531593,0.01780224,0.08935386,0.11497951,0.013359554
2,3,2,1iJBSr7s7jYXzM8EGcbK5b,Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,57,210826,False,0.438,0.359,0,-9.734,1,0.0557,0.21,0.0,0.117,0.12,76.332,4,acoustic,,,,,,,,,0.6427461,0.02234405,0.23077375,0.032464597,0.004655159,0.013198405,0.01896098,0.034857016
3,4,3,6lfxq3CG4xtTiEg7opyCyx,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,71,201933,False,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,3,acoustic,,,,,,,,,0.80222344,0.0086962655,0.09817905,0.036886547,0.0019941232,0.005173613,0.006723966,0.040123016
4,5,4,5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,Hold On,82,198853,False,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,4,acoustic,,,,,,,,,0.6444554,0.025699697,0.21124071,0.04948904,0.0049911705,0.013290113,0.019499421,0.031334456
5,6,5,01MVOl9KtVTNfFiBU9I7dc,Tyrone Wells,Days I Will Remember,Days I Will Remember,58,214240,False,0.688,0.481,6,-8.807,1,0.105,0.289,0.0,0.189,0.666,98.017,4,acoustic,,,,,,,,,0.562988,0.043982275,0.19773962,0.048154864,0.014455174,0.020256836,0.059297126,0.05312608
6,7,6,6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,229400,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,acoustic,,,,,,,,,0.6744685,0.028724778,0.19958575,0.030260177,0.004120776,0.010743366,0.017476855,0.03461978
7,8,7,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,acoustic,,,,,,,,,0.7125775,0.025928784,0.15163045,0.036311854,0.0048677213,0.012007909,0.02059339,0.036082342
8,9,8,0IktbUcnAGrvD03AWnz3Q8,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,74,189613,False,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4,acoustic,,,,,,,,,0.8251279,0.008527654,0.09988327,0.02470061,0.0015441765,0.0045544216,0.005844244,0.02981767
9,10,9,7k9GuJYLp2AzqokyEdwEw2,Ross Copperman,Hunger,Hunger,56,205594,False,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,4,acoustic,,,,,,,,,0.7131834,0.023877311,0.14726283,0.033256862,0.0049588215,0.013524306,0.021658823,0.042277697
10,11,10,4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,Episode,Give Me Your Forever,74,244800,False,0.627,0.363,8,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,99.905,4,acoustic,,,,,,,,,0.8202479,0.010039335,0.08773085,0.02672216,0.002085682,0.005314899,0.008208741,0.039650414
11,12,11,5ivF4eQBqJiVL5IAE9jRyl,Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,69,240165,False,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,3,acoustic,,,,,,,,,0.6923106,0.017893923,0.16584195,0.047037728,0.0047187647,0.011467481,0.016969511,0.04376009
